operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.028756862981897547,30,1.0,0.0165507431439921,30,1.0,0.1137555948092873,30,1.0,0.04489986831435017,30,1.0,0.19193227413551148,30,1.0,4.419896011329984,30,1.0,1.343946641068901,30,1.0,0.2966639331288732,30,1.0,0.060342234023374866,30,1.0,4.944673489207107,30,1.0,36.35693852183161,30,1.0,36.00534740272778,30,1.0
temporal_reversal,family,bound,3,3,0.03368814036159384,3,1.0,0.009807478786962366,3,1.0,0.07885315437627032,3,1.0,0.04618559487983633,3,1.0,0.18327231945978303,3,1.0,4.494248868838071,3,1.0,1.229231158870949,3,1.0,0.2497631507538424,3,1.0,0.051847300357812764,3,1.0,4.80316442691403,3,1.0,45.272358176427154,3,1.0,35.72755693746661,3,1.0
temporal_reversal,family,gallop,12,12,0.02376432435206882,12,1.0,0.021641249252748396,12,1.0,0.13952701536922751,12,1.0,0.04336476665629776,12,1.0,0.20282587501755156,12,1.0,4.622773636879699,12,1.0,1.3201008519079076,12,1.0,0.28992996311500674,12,1.0,0.07015007988998544,12,1.0,5.22749933736386,12,1.0,38.82394649861563,12,1.0,38.536457249144995,12,1.0
temporal_reversal,family,half_bound,12,12,0.029388776361793448,12,1.0,0.01659390244805292,12,1.0,0.10707036719100023,12,1.0,0.041551353650340205,12,1.0,0.19646285000700944,12,1.0,4.492329212226749,12,1.0,1.2945328819215483,12,1.0,0.2698332780259758,12,1.0,0.05664668579616583,12,1.0,5.164021431832984,12,1.0,38.32531898768243,12,1.0,37.809239163826135,12,1.0
temporal_reversal,family,trot,3,3,0.041268086601932555,3,1.0,0.0027593458497533613,3,1.0,0.07231326347569171,3,1.0,0.06314860703711345,3,1.0,0.13889552179708808,3,1.0,3.244299848035985,3,1.0,1.7517003165002374,3,1.0,0.4778232159709594,3,1.0,0.04438797713133088,3,1.0,3.0774873883696685,3,1.0,9.699965096696735,3,1.0,18.943131437926635,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.028756862981897547,30,1.0,0.0165507431439921,30,1.0,0.1137555948092873,30,1.0,0.04489986831435017,30,1.0,0.19193227413551148,30,1.0,4.419896011329984,30,1.0,1.343946641068901,30,1.0,0.2966639331288732,30,1.0,0.060342234023374866,30,1.0,4.944673489207107,30,1.0,36.35693852183161,30,1.0,36.00534740272778,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.049560891348838884,10,1.0,0.0204574716242878,10,1.0,0.0999462890625,10,1.0,0.0302633700581248,10,1.0,0.2022522535447187,10,1.0,4.276710388811251,10,1.0,1.146861431108995,10,1.0,0.24461910218178953,10,1.0,0.034744949295395636,10,1.0,4.990403964617685,10,1.0,40.851328681768365,10,1.0,33.82444904034739,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.02315860184276992,10,1.0,0.013243915905993556,10,1.0,0.11986910912298387,10,1.0,0.03833998414973333,10,1.0,0.1897571213456021,10,1.0,4.464312959537781,10,1.0,1.3330285615219497,10,1.0,0.28055812540426006,10,1.0,0.057010550343249845,10,1.0,4.99393665427816,10,1.0,37.325703218815924,10,1.0,37.945924181034364,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.013551095754083822,10,1.0,0.015950841901694948,10,1.0,0.12145138624237806,10,1.0,0.06609625073519237,10,1.0,0.18378744751621365,10,1.0,4.518664685640919,10,1.0,1.551949930575758,10,1.0,0.36481457180057,10,1.0,0.08927120243147914,10,1.0,4.849679848725477,10,1.0,30.89378366491054,10,1.0,36.24566898680159,10,1.0
temporal_reversal,robot,go2,30,30,0.028756862981897547,30,1.0,0.0165507431439921,30,1.0,0.1137555948092873,30,1.0,0.04489986831435017,30,1.0,0.19193227413551148,30,1.0,4.419896011329984,30,1.0,1.343946641068901,30,1.0,0.2966639331288732,30,1.0,0.060342234023374866,30,1.0,4.944673489207107,30,1.0,36.35693852183161,30,1.0,36.00534740272778,30,1.0
front_hind_reflected_temporal_reversal,overall,all,30,30,0.028756862981897547,30,1.0,0.0165507431439921,30,1.0,0.8434369566115648,30,1.0,0.33945344429169444,30,1.0,0.27547923083682085,30,1.0,6.2901492088315445,30,1.0,1.9749003716332945,30,1.0,0.6097584499979157,30,1.0,0.060342234023374866,30,1.0,7.988482585770084,30,1.0,32.75533793786237,30,1.0,66.10136850597684,30,1.0
front_hind_reflected_temporal_reversal,family,bound,3,3,0.03368814036159384,3,1.0,0.009807478786962366,3,1.0,0.9055587247522866,3,1.0,0.3609461886601941,3,1.0,0.28273798371905895,3,1.0,6.455321272395444,3,1.0,1.9450530391166785,3,1.0,0.602135745957038,3,1.0,0.051847300357812764,3,1.0,8.500879216356651,3,1.0,39.04237942039173,3,1.0,70.09045357215167,3,1.0
front_hind_reflected_temporal_reversal,family,gallop,12,12,0.02376432435206882,12,1.0,0.021641249252748396,12,1.0,0.8112732942042437,12,1.0,0.33105089894843454,12,1.0,0.2713107485872544,12,1.0,6.505948923890442,12,1.0,1.8826772726061545,12,1.0,0.5841258168989502,12,1.0,0.07015007988998544,12,1.0,7.945193920286868,12,1.0,36.23003307463034,12,1.0,63.93648842493874,12,1.0
front_hind_reflected_temporal_reversal,family,half_bound,12,12,0.029388776361793448,12,1.0,0.01659390244805292,12,1.0,0.8576654150911391,12,1.0,0.3341586484809453,12,1.0,0.2792988469141968,12,1.0,6.5002015196865015,12,1.0,1.9074447985715475,12,1.0,0.5890165782289071,12,1.0,0.05664668579616583,12,1.0,8.265908945630443,12,1.0,33.31716313203956,12,1.0,66.87572040402527,12,1.0
